"ID","Survey_year","Weight","Age","Gender","TRACE","Region","Family_type","Parents_college","Poverty","Language_home","SNAP","TANF","SSI","Repeated_grade","Suspended_expelled","Gifted_class","Cares_about_school","Does_homework","Sports","Clubs","Lessons","After_school_program","Religion_event","Any_extracurricular"
"2018_3841803718018_102_2021",2021,4272.9247631,8,"Female",8,3,2,1,0,"English only",0,0,0,0,0,1,1,1,0,0,0,0,1,0
"2018_3841803718018_103_2021",2021,4272.9247631,6,"Female",8,3,2,1,0,"English only",0,0,0,0,0,0,1,1,0,0,0,0,1,0
"2018_3841803762618_102_2021",2021,11194.991367,15,"Male",2,3,2,1,0,"English only",0,0,0,0,0,1,2,1,1,1,1,0,4,1
"2018_3841803762618_103_2021",2021,9952.9835131,13,"Female",2,3,2,1,0,"English only",0,0,0,0,0,0,1,1,0,1,1,0,4,1
"2018_3841803762618_104_2021",2021,9952.9835131,13,"Female",2,3,2,1,0,"English only",0,0,0,0,0,0,1,1,0,1,1,0,4,1
"2018_3841803783218_103_2021",2021,6655.6492841,15,"Female",1,3,1,1,0,"English only",0,0,0,0,0,1,2,2,1,1,0,NA,4,1
"2018_3841804673018_103_2021",2021,4558.4426758,12,"Male",1,3,1,1,0,"English only",0,0,0,0,0,1,2,2,1,1,0,0,4,1
"2018_3841804673018_104_2021",2021,5092.4578439,10,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,2,2,1,0,1,0,4,1
"2018_3841804673018_105_2021",2021,7973.4607518,7,"Female",1,3,1,1,0,"English only",0,0,0,0,0,0,2,2,0,0,1,0,4,1
"2018_3841804948618_105_2021",2021,5610.293184,14,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,1,1,1,1,1,0,4,1
"2018_3841804960218_103_2021",2021,5188.269477,6,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,1,4,0,1,1,0,4,1
"2018_3841817244018_201_2021",2021,4965.2792071,17,"Female",1,NA,3,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018_3841827626718_103_2021",2021,10580.968145,17,"Female",1,3,1,1,0,"English only",0,0,0,0,0,1,1,1,1,1,0,NA,4,1
"2018_3841827626718_104_2021",2021,16966.427913,15,"Female",1,3,1,1,0,"English only",0,0,0,0,0,1,1,1,1,1,0,NA,4,1
"2018_3841827626718_105_2021",2021,22743.425619,13,"Male",2,3,1,1,0,"English only",0,0,0,0,0,0,2,1,1,1,0,0,4,1
"2018_3841828525318_103_2021",2021,7414.5707436,10,"Female",1,3,1,1,0,"English only",0,0,0,0,0,1,1,3,1,0,1,0,4,1
"2018_3841828525318_104_2021",2021,5405.2166787,6,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,3,3,1,0,1,0,4,1
"2018_3841828536618_103_2021",2021,6544.7841833,9,"Female",1,3,1,1,0,"English only",0,0,0,0,0,1,2,1,1,0,1,0,3,1
"2018_3841828536618_104_2021",2021,6473.9547939,7,"Female",1,3,1,1,0,"English only",0,0,0,0,0,1,2,1,1,0,1,0,3,1
"2018_3841832002318_105_2021",2021,3238.1859966,17,"Male",1,3,1,1,1,"English only",1,0,0,0,0,1,2,1,1,0,0,NA,1,1
"2018_3841832002318_401_2021",2021,4877.9788735,15,"Female",1,3,NA,NA,NA,"English only",1,0,0,0,0,0,3,3,0,0,0,0,1,0
"2018_3841832002318_402_2021",2021,3699.295533,10,"Male",1,3,NA,NA,NA,"English only",1,0,0,0,0,0,3,1,0,0,0,0,1,0
"2018_3841832046518_103_2021",2021,6939.6748275,11,"Female",1,3,2,0,1,"English only",0,0,0,0,0,1,1,1,0,1,0,0,4,1
"2018_3841833402718_104_2021",2021,5549.1928638,6,"Female",1,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018_3841833456518_104_2021",2021,5474.0039674,6,"Male",1,3,1,0,1,"English only",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"2018_3841840619618_103_2021",2021,6970.1190304,11,"Male",8,3,1,1,0,"English only",0,0,0,0,0,1,1,1,0,0,1,0,1,1
"2018_3841840619618_104_2021",2021,7958.9640601,9,"Male",8,3,1,1,0,"English only",0,0,0,0,0,1,1,1,0,0,0,0,1,0
"2018_3841840650218_103_2021",2021,5781.6936423,10,"Male",1,3,2,0,0,"English only",0,0,0,0,0,1,1,1,0,0,0,0,2,0
"2018_3841840650518_103_2021",2021,5763.6517082,10,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,1,1,0,0,0,1,5,1
"2018_3841840650518_104_2021",2021,8117.6688165,8,"Female",1,3,1,1,0,"English only",0,0,0,0,0,0,3,1,0,0,0,1,5,1
"2018_3841840699918_103_2021",2021,3904.9457,9,"Male",1,3,1,1,1,"English only",1,0,0,1,0,0,3,2,0,0,0,0,1,0
"2018_3841840896718_104_2021",2021,5828.5389539,16,"Female",1,3,1,1,0,"English only",0,0,0,0,0,0,1,1,1,1,1,NA,4,1
"2018_3841840896718_105_2021",2021,5604.1698918,13,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,1,1,1,1,1,0,4,1
"2018_3841841816218_103_2021",2021,11764.963492,13,"Female",1,3,1,1,0,"English only",0,0,0,0,0,1,1,1,1,1,1,0,5,1
